"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","R660-A_Gain","R660-H_Gain","R780-A_Gain","R780-H_Gain","B530-A_Gain","B530-H_Gain","B695-A_Gain","B695-H_Gain","V450-A_Gain","V450-H_Gain","V530-A_Gain","V530-H_Gain","V710-A_Gain","V710-H_Gain","Y590-A_Gain","Y590-H_Gain","Y610-A_Gain","Y610-H_Gain","Y670-A_Gain","Y670-H_Gain","Y780-A_Gain","Y780-H_Gain","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","R660-A","R660-H","R780-A","R780-H","B530-A","B530-H","B695-A","B695-H","V450-A","V450-H","V530-A","V530-H","V710-A","V710-H","Y590-A","Y590-H","Y610-A","Y610-H","Y670-A","Y670-H","Y780-A","Y780-H","Red_LaserDelay","Blue_LaserDelay","Violet_LaserDelay","Yellow_LaserDelay","Red_AreaScalingFactor","Blue_AreaScalingFactor","Violet_AreaScalingFactor","Yellow_AreaScalingFactor"
"20-DEC-2018",2018-12-20 12:32:06,"2018-12-20","12H 32M 6S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,133408.5234375,77812.3046875,112158,141988.421875,75911.30078125,122471,10341.599609375,NA,10213.8798828125,NA,10885.5747070312,NA,13032.5747070312,NA,8500.0498046875,NA,6323.2646484375,NA,7614.35986328125,NA,21488.810546875,NA,21540.171875,NA,18652.240234375,NA,28766.951171875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19-DEC-2018",2018-12-19 14:29:32,"2018-12-19","14H 29M 32S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,135886.109375,79683.34765625,111713.5,141928.09375,77442.390625,119820.5,10340.3603515625,NA,10687.560546875,NA,10757.7998046875,NA,13222.099609375,NA,8433.359375,NA,6347.25,NA,7614.94482421875,NA,21337.94140625,NA,21347.0361328125,NA,18906.900390625,NA,29639.537109375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18-DEC-2018",2018-12-18 09:35:36,"2018-12-18","9H 35M 36S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,131208.21875,65766.234375,130615,142727.046875,65331.8125,143450,10418.48046875,NA,7712.80029296875,NA,11704.9501953125,NA,12498.2001953125,NA,9714.509765625,NA,7197.83984375,NA,6501.68994140625,NA,22797.421875,NA,22811.33203125,NA,18350.5,NA,22307.361328125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17-DEC-2018",2018-12-17 08:41:27,"2018-12-17","8H 41M 27S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,137277.21875,66311.25,135631,146858.59375,64928.328125,148469,9362,9405,7500.76025390625,7376,11606.1494140625,11505,10877.5,10640,9311.3798828125,8567,7523.6796875,7003,6967.89990234375,5648,21623.76171875,21283,21884.041015625,21617,19732.681640625,19156,22023.361328125,21576,NA,NA,NA,NA,NA,NA,NA,NA
"14-DEC-2018",2018-12-14 13:20:21,"2018-12-14","13H 20M 21S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,140419.40625,65894.53515625,139699,151672.7265625,65415.697265625,152058,10249.2197265625,NA,7950.26000976562,NA,12348.099609375,NA,13541.2998046875,NA,8821.7998046875,NA,6313.31982421875,NA,6095.69970703125,NA,23288.015625,NA,23243.076171875,NA,19225.76171875,NA,23795.7314453125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11-DEC-2018",2018-12-11 09:25:16,"2018-12-11","9H 25M 16S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,141934.875,66283.2890625,140281,151288.453125,65807.921875,150915,10387.48046875,NA,8153,NA,12291.099609375,NA,13440.599609375,NA,9099.08984375,NA,6664.31982421875,NA,6346.07958984375,NA,22932.240234375,NA,22732.150390625,NA,18870.521484375,NA,23562.470703125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10-DEC-2018",2018-12-10 10:39:44,"2018-12-10","10H 39M 44S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,139166.9375,65965.25,138072,147095.140625,64666.98046875,149232,9003.6396484375,9128,7518.1201171875,7465,11634.6494140625,11603,11140.6494140625,10986,8197.4599609375,7551,6442.7998046875,6023,6474.65966796875,5288,21290.041015625,21381,21669.12109375,21928,19488.6015625,19288,23117.400390625,23190,NA,NA,NA,NA,NA,NA,NA,NA
"07-DEC-2018",2018-12-07 10:06:33,"2018-12-07","10H 6M 33S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,140024.921875,66044.6796875,138900,150673.796875,65545.5546875,150728,10425.919921875,NA,9110.2802734375,NA,12122.9501953125,NA,13796.849609375,NA,8893.169921875,NA,6488.81982421875,NA,6567.2099609375,NA,22906.560546875,NA,22828.451171875,NA,19586.3515625,NA,26817.412109375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"06-DEC-2018",2018-12-06 09:35:00,"2018-12-06","9H 35M 0S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,139096.734375,66006.75,137982,148317.796875,64603.875,150599,9234.2802734375,9325,8771.759765625,8664,11461.75,11451,11481.7001953125,11316,8716.6591796875,8040,6960.81982421875,6482,7154.33984375,5849,21393.720703125,21392,21794.400390625,21849,20532.9609375,20205,26624.16015625,26349,NA,NA,NA,NA,NA,NA,NA,NA
"05-DEC-2018",2018-12-05 09:27:03,"2018-12-05","9H 27M 3S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,138986.0625,66686.8359375,136494,149349.5,65304.609375,150077,9448.7998046875,9460,8869.7197265625,8689,11542.5,11414,11549.1494140625,11278,8840.5595703125,8019,6984.419921875,6467,7248.73974609375,5733,21714.48046875,21172,22113,21604,20742.48046875,20002,26376.841796875,25522,NA,NA,NA,NA,NA,NA,NA,NA
"04-DEC-2018",2018-12-04 09:40:41,"2018-12-04","9H 40M 41S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,138850.390625,66127.0859375,137554,149121.5,65654.40625,149067,10530.080078125,NA,9693.080078125,NA,11818.9501953125,NA,13670.5,NA,9534.330078125,NA,6988.40966796875,NA,6892.4697265625,NA,23091.671875,NA,23076.69140625,NA,19938.380859375,NA,28389.2421875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"03-DEC-2018",2018-12-03 09:40:31,"2018-12-03","9H 40M 31S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,136929.1484375,66003.265625,135845.5,145032.6953125,64370.833984375,147923,9662.080078125,9732.5,9536.2197265625,9403.5,11085.5498046875,11106.5,11324,11211,9120.2197265625,8516,7232.2197265625,6819,7400.95947265625,6093,21468.7802734375,21576,22082.76171875,22128.5,20973.6015625,20733,28450.9814453125,28432,NA,NA,NA,NA,NA,NA,NA,NA
"30-NOV-2018",2018-11-30 09:59:46,"2018-11-30","9H 59M 46S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,145694.09375,67002.6328125,142325,157062.546875,66712.21875,154807,10717.3203125,NA,9483.5205078125,NA,12522.8994140625,NA,14223.3994140625,NA,10010.51953125,NA,7492.6796875,NA,7092.53955078125,NA,23612.76171875,NA,23292.83203125,NA,20060.361328125,NA,27319.2421875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28-NOV-2018",2018-11-28 09:20:50,"2018-11-28","9H 20M 50S","Unknown","FACSAriaII","1","Administrator",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,146935.2578125,67022.43359375,143466.5,158393.96875,66666.49609375,156268,10971.5205078125,NA,10158.080078125,NA,12568.0249023438,NA,14443.3247070312,NA,10228.1396484375,NA,7648.87475585938,NA,7249.31982421875,NA,24377.2763671875,NA,24100.681640625,NA,21026.0361328125,NA,29207.255859375,NA,-52.7,0,25.21,-24.41,1.24,0.95,1.17,1.07
"27-NOV-2018",2018-11-27 10:11:38,"2018-11-27","10H 11M 38S","Unknown","FACSAriaII","1","Administrator",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,132464.859375,66097.6015625,131299.5,140459.875,65558.98828125,140612,11044.6796875,NA,10263.48046875,NA,11262.7250976562,NA,13157.5,NA,10262.0693359375,NA,7507.3046875,NA,7194.91455078125,NA,23397.15625,NA,23603.130859375,NA,20183.9462890625,NA,30002.8017578125,NA,-52.7,0,25.21,-24.41,1.24,0.95,1.17,1.07
"26-NOV-2018",2018-11-26 15:48:28,"2018-11-26","15H 48M 28S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,141047.140625,66461.8515625,139121.5,148731.046875,65988.5703125,148050.5,11144.5,NA,6160.94018554688,NA,12524.3247070312,NA,12306.2998046875,NA,10163.2045898438,NA,7487.41479492188,NA,6061.76977539062,NA,24022.5712890625,NA,23923.060546875,NA,17737.390625,NA,17087.900390625,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19-NOV-2018",2018-11-19 09:40:37,"2018-11-19","9H 40M 37S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,141067.359375,66304.9609375,139366,147926.390625,64816.0625,149655,9895.2001953125,9903,5954.47998046875,5870,11865.5,11798,10069.0498046875,9946,9619.359375,8790,7795.07958984375,7198,6200.89990234375,4990,22576.3203125,22275,23103.361328125,22875,18862.201171875,18430,17467.919921875,17216,NA,NA,NA,NA,NA,NA,NA,NA
"15-NOV-2018",2018-11-15 12:16:40,"2018-11-15","12H 16M 40S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,141678.4375,66079.28125,140551,151740.6484375,65456.63671875,151896.5,10835.740234375,NA,6433.73999023438,NA,12482.0498046875,NA,12209.8745117188,NA,9567.6748046875,NA,7015.31982421875,NA,5579.14477539062,NA,30392.81640625,NA,30344.130859375,NA,23668.400390625,NA,18244.5703125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14-NOV-2018",2018-11-14 09:49:51,"2018-11-14","9H 49M 51S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,113658.296875,50382.201171875,147797.5,157915.171875,64996.267578125,159456.5,9267.759765625,9190,9267.14013671875,9016,12479.6748046875,12359.5,12368.9995117188,12119.5,9261.2294921875,8400,7471.75952148438,6854.5,7650.52954101562,6008.5,28492.5615234375,27676.5,28560.0615234375,27908,28548.7216796875,27592,27661.5009765625,26851,NA,NA,NA,NA,NA,NA,NA,NA
"13-NOV-2018",2018-11-13 10:35:05,"2018-11-13","10H 35M 5S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,139667.921875,65939.453125,138795.5,147130.296875,64408.7109375,149835.5,9547.3798828125,9632.5,9654.02001953125,9530.5,11552.9501953125,11556.5,11565.2998046875,11477.5,8783.32958984375,8352,6945.4794921875,6704.5,7121.8896484375,5974,27378.001953125,27530.5,27936.9013671875,28234.5,27868.8603515625,27485.5,28309.5009765625,28360,NA,NA,NA,NA,NA,NA,NA,NA
"12-NOV-2018",2018-11-12 09:37:32,"2018-11-12","9H 37M 32S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,141589.78125,66002.51953125,140580.5,148631.7734375,65341.458984375,149274.5,10822.1000976562,NA,10394.919921875,NA,12031.75,NA,14051.4501953125,NA,9605.1142578125,NA,7076.74462890625,NA,7145.18994140625,NA,29763.1220703125,NA,29599.4111328125,NA,27140.0166015625,NA,30005.4765625,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08-NOV-2018",2018-11-08 10:02:07,"2018-11-08","10H 2M 7S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,136231.203125,65776.671875,135680.5,143201.5703125,64342.7578125,146067.5,9550.47998046875,9677.5,9347.740234375,9249,11157.2749023438,11201,11181.5,11062,9159.1591796875,8955.5,7406.26977539062,7263.5,7314.22973632812,6284,27433.0810546875,27485,27865.62109375,28111.5,27519.48046875,27180,27334.80078125,27318,NA,NA,NA,NA,NA,NA,NA,NA
"07-NOV-2018",2018-11-07 12:58:17,"2018-11-07","12H 58M 17S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,135100.703125,65734.2890625,134706,144519.2265625,65049.109375,145604.5,11021.740234375,NA,10413.5205078125,NA,11426.1245117188,NA,13265.3247070312,NA,9698.71484375,NA,7092.53955078125,NA,7003.03466796875,NA,29694.6416015625,NA,29814.482421875,NA,26903.01171875,NA,29631.5107421875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"06-NOV-2018",2018-11-06 09:26:36,"2018-11-06","9H 26M 36S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,136423.984375,65977.74609375,135451,144921.0703125,64396.05078125,147477.5,9798.48046875,9881,10130.7998046875,9957,11089.8247070312,11103.5,11282.6748046875,11151.5,9690.74951171875,9572,7842.86962890625,7847.5,7933.72973632812,6880.5,27564.3017578125,27648.5,28131.841796875,28186.5,27950.9404296875,27482,28861.921875,28727,NA,NA,NA,NA,NA,NA,NA,NA
"02-NOV-2018",2018-11-02 10:05:06,"2018-11-02","10H 5M 6S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,141327.3828125,66781.90234375,138645.5,151700.7421875,66099.3125,150042.5,11578.5,NA,10794.2001953125,NA,11984.25,NA,13648.6494140625,NA,10934.234375,NA,8188.82958984375,NA,7444.70971679688,NA,30776.9462890625,NA,30807.9765625,NA,27617.236328125,NA,29504.716796875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-NOV-2018",2018-11-01 09:37:05,"2018-11-01","9H 37M 5S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,140725.8359375,66098.4453125,139620,149142.3984375,65437.02734375,149393.5,11110.400390625,NA,10541.8603515625,NA,11942.4501953125,NA,13764.5498046875,NA,9804.0146484375,NA,7213.0498046875,NA,7265.69970703125,NA,29816.62109375,NA,29715.5068359375,NA,27045.3212890625,NA,29261.8271484375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30-OCT-2018",2018-10-30 09:33:06,"2018-10-30","9H 33M 6S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,140885.890625,65948.8125,140020,147064.2734375,64372.20703125,149832.5,9614.9599609375,9724.5,9734.6201171875,9620.5,11537.75,11532,11635.1245117188,11474.5,9068.8896484375,8639.5,7315.40966796875,7047,7516.599609375,6331,27656.640625,27696,28261.44140625,28216,28132.3818359375,27714,28301.400390625,28214.5,NA,NA,NA,NA,NA,NA,NA,NA
"29-OCT-2018",2018-10-29 09:43:55,"2018-10-29","9H 43M 55S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,139176.453125,65906.89453125,138410,144989.9453125,64142.81640625,148292.5,9737.10009765625,9834.5,9951.6201171875,9811,11287.4248046875,11313.5,11427.0747070312,11304.5,9201.6396484375,8926.5,7368.50952148438,7230.5,7532.52954101562,6435,27636.6611328125,27859,28344.0615234375,28550,27825.6611328125,27619,29024.4619140625,29042,NA,NA,NA,NA,NA,NA,NA,NA
"25-OCT-2018",2018-10-25 10:41:31,"2018-10-25","10H 41M 31S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,141715.921875,65872.2578125,141023.5,148837.921875,64277.0546875,151961.5,9596.97998046875,9730.5,8125.10009765625,8058.5,11765.75,11809,11152.0498046875,11047,9108.419921875,8788.5,7295.93969726562,7080.5,6848.7197265625,5834,27913.1416015625,27975,28509.841796875,28625,26754.841796875,26516.5,23784.3017578125,23799,NA,NA,NA,NA,NA,NA,NA,NA
"23-OCT-2018",2018-10-23 09:37:23,"2018-10-23","9H 37M 23S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,142752.40625,65947.859375,141919.5,149763.21875,64531.947265625,152212.5,9745.16015625,9825.5,8910.6396484375,8811,11725.849609375,11735,11300.7250976562,11164,9369.19921875,8985,7545.50952148438,7290.5,7200.35961914062,6086,28265.2216796875,28223,28796.041015625,28866.5,27830.521484375,27391,25721.28125,25586.5,NA,NA,NA,NA,NA,NA,NA,NA
"22-OCT-2018",2018-10-22 09:46:34,"2018-10-22","9H 46M 34S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,141879.5390625,66106.32421875,140659,147659.4453125,64318.736328125,150415,9911.3203125,9969,10172.9599609375,10034.5,11504.0249023438,11525,11590.4750976562,11444,9257.689453125,8880,7454.0595703125,7262.5,7628.69970703125,6421.5,28139.9404296875,28005.5,28817.1005859375,28634.5,28353.240234375,27829,29444.041015625,29160,NA,NA,NA,NA,NA,NA,NA,NA
"19-OCT-2018",2018-10-19 09:38:40,"2018-10-19","9H 38M 40S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,145965.40625,66320.87890625,144272,156024.671875,65659.765625,155615.5,11314.3798828125,NA,10289.5205078125,NA,12411.75,NA,13944.099609375,NA,10156.76953125,NA,7667.009765625,NA,7355.20458984375,NA,30584.3466796875,NA,30411.5419921875,NA,27534.3115234375,NA,28417.5966796875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18-OCT-2018",2018-10-18 08:50:04,"2018-10-18","8H 50M 4S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,144726.609375,66060.75,143498,154213.5,64495.11328125,156728,9851.7998046875,9926,9924.9599609375,9751,11798.0498046875,11834,11794.25,11635,9298.3994140625,8973,7594.4794921875,7445,7672.35986328125,6471,28245.240234375,28094,28599.48046875,28500,28759.3203125,28136,27853.201171875,27654,NA,NA,NA,NA,NA,NA,NA,NA
"17-OCT-2018",2018-10-17 12:42:00,"2018-10-17","12H 42M 0S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,140796.640625,65792.9140625,140292,150152.25,64868.822265625,151575,11027.9404296875,NA,10825.8203125,NA,11809.4501953125,NA,13791.6245117188,NA,9259.96484375,NA,6697.66455078125,NA,6885.44970703125,NA,29741.720703125,NA,29799.501953125,NA,27339.037109375,NA,30381.0458984375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16-OCT-2018",2018-10-16 11:23:44,"2018-10-16","11H 23M 44S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,138130.453125,65906.3125,137300,145500.09375,65041.796875,146208,11034.759765625,NA,8991.240234375,NA,11774.2998046875,NA,13066.2998046875,NA,9698.1298828125,NA,7333.5595703125,NA,6604.64990234375,NA,30222.15234375,NA,30264.951171875,NA,26986.470703125,NA,24997.341796875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16-OCT-2018",2018-10-16 09:02:23,"2018-10-16","9H 2M 23S","Unknown","FACSAriaII","1","Administrator",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,123284.33984375,56790.837890625,142262.5,152726.7421875,64437.978515625,154912.5,9888.3798828125,9911,8547.9404296875,8415,11907.7749023438,11878.5,11537.2749023438,11391,9475.9892578125,9275.5,7895.9697265625,7846,7444.02954101562,6288,29071.44140625,28489,29475.361328125,28957,28844.1005859375,28016,24271.9208984375,23775.5,-52.44,0,25.04,-24.32,1.24,0.95,1.18,1.08
