"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","R660-A_Gain","R660-H_Gain","R780-A_Gain","R780-H_Gain","B530-A_Gain","B530-H_Gain","B695-A_Gain","B695-H_Gain","V450-A_Gain","V450-H_Gain","V530-A_Gain","V530-H_Gain","V710-A_Gain","V710-H_Gain","Y590-A_Gain","Y590-H_Gain","Y610-A_Gain","Y610-H_Gain","Y670-A_Gain","Y670-H_Gain","Y780-A_Gain","Y780-H_Gain","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","R660-A","R660-H","R780-A","R780-H","B530-A","B530-H","B695-A","B695-H","V450-A","V450-H","V530-A","V530-H","V710-A","V710-H","Y590-A","Y590-H","Y610-A","Y610-H","Y670-A","Y670-H","Y780-A","Y780-H","Red_LaserDelay","Blue_LaserDelay","Violet_LaserDelay","Yellow_LaserDelay","Red_AreaScalingFactor","Blue_AreaScalingFactor","Violet_AreaScalingFactor","Yellow_AreaScalingFactor"
"10-DEC-2019",2019-12-10 09:26:24,"2019-12-10","9H 26M 24S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,90306.08984375,67233.3359375,88008,126099.2734375,67466.13671875,122900.5,6190.83984375,6156,6319.89013671875,6200,7781.400390625,7520,7975.77026367188,7679,4059.98999023438,4349,3507.57006835938,3750,5644.97998046875,5417,5903.2998046875,5810.5,5795.39990234375,5710,5485.349609375,5429,3241.87487792969,3293,NA,NA,NA,NA,NA,NA,NA,NA
"09-DEC-2019",2019-12-09 12:27:36,"2019-12-09","12H 27M 36S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,90772.24609375,66491.70703125,89385.5,127798.7734375,66543.1953125,126161,6197.9599609375,6224,6225.5498046875,6164,7830.240234375,7682,8040.7802734375,7851,4062.46496582031,4483,3479.35510253906,3826,5562.31494140625,5504,5786.94970703125,5763,5688.47485351562,5663,5370.94970703125,5378,3186.2998046875,3281,NA,NA,NA,NA,NA,NA,NA,NA
"06-DEC-2019",2019-12-06 08:32:51,"2019-12-06","8H 32M 51S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,92256.5703125,67488.6015625,89436,127178.703125,67849.5703125,123211,6405.330078125,6294,6314.5498046875,6145,7871.8203125,7589,7923.30029296875,7592,3748.14013671875,3923,3261.06005859375,3414,5355.89990234375,5065,5928.64990234375,5793,5767.44970703125,5640,5456.099609375,5356,3027.69995117188,3032,NA,NA,NA,NA,NA,NA,NA,NA
"05-DEC-2019",2019-12-05 10:23:52,"2019-12-05","10H 23M 52S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,505,NA,411,NA,560,NA,626,NA,511,NA,410,NA,497,NA,359,NA,450,NA,396,NA,416,NA,92327.8984375,68576.48046875,88126,126596.9140625,67922.76953125,122577,6203.1201171875,NA,6734.64013671875,NA,7471.2001953125,NA,8080.38037109375,NA,4283.4599609375,NA,4011.03979492188,NA,5881.40966796875,NA,6036.7998046875,NA,10986.240234375,NA,5211.52001953125,NA,3024.31994628906,NA,NA,NA,NA,NA,NA,NA,NA,NA
"03-DEC-2019",2019-12-03 12:25:28,"2019-12-03","12H 25M 28S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,505,NA,411,NA,560,NA,626,NA,511,NA,410,NA,497,NA,359,NA,450,NA,396,NA,416,NA,92432.0390625,68318.234375,88672.5,127204.77734375,67615.6640625,123639,6164.39990234375,NA,6735.52001953125,NA,7388.04052734375,NA,8105.13037109375,NA,4409.599609375,NA,4095.83984375,NA,5953.48950195312,NA,5927.35986328125,NA,10822.7197265625,NA,5129.28002929688,NA,2999.0400390625,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02-DEC-2019",2019-12-02 09:34:02,"2019-12-02","9H 34M 2S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,90583.515625,67344.44921875,88136.5,125271.6328125,67659.96484375,121741,6274.94506835938,6174.5,6309.2099609375,6169,7756.98046875,7493,7943.43017578125,7638,4163.44506835938,4444,3600.63012695312,3823.5,5676.1650390625,5458,5868.19970703125,5727,5739.82495117188,5624,5421.64990234375,5321.5,3195.39990234375,3220,NA,NA,NA,NA,NA,NA,NA,NA
"26-NOV-2019",2019-11-26 09:32:03,"2019-11-26","9H 32M 3S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,90718.3828125,66979.5625,88820,126368.2265625,67292.0078125,123543,6521.02978515625,6492,6545.94970703125,6459,7864.560546875,7639,8009.10009765625,7734,3946.14013671875,4228,3415.5,3648,5535.08984375,5316,5885.75,5796,5777.849609375,5681,5468.44970703125,5413,3172,3225,NA,NA,NA,NA,NA,NA,NA,NA
"25-NOV-2019",2019-11-25 12:47:57,"2019-11-25","12H 47M 57S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,90657.2265625,65539.8984375,90675.5,124959.45703125,65828.578125,124801.5,6454.72485351562,6527,6461.39990234375,6482,7695.60009765625,7640.5,7968.51025390625,7868,4071.8701171875,4529,3497.669921875,3864.5,5504.89501953125,5478,5827.57495117188,5858,5742.4248046875,5764,5436.599609375,5471,3233.75,3360,NA,NA,NA,NA,NA,NA,NA,NA
"22-NOV-2019",2019-11-22 09:04:44,"2019-11-22","9H 4M 44S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,505,NA,411,NA,560,NA,626,NA,511,NA,410,NA,497,NA,359,NA,450,NA,396,NA,416,NA,94005.6171875,67790.31640625,90850,128243.28515625,67202.55859375,125393,6190.7998046875,NA,6608.7998046875,NA,7567.56005859375,NA,8168.490234375,NA,4330.099609375,NA,4065.09985351562,NA,5925.39990234375,NA,5995.83984375,NA,10956.7998046875,NA,5162.23974609375,NA,2932.47998046875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21-NOV-2019",2019-11-21 08:42:02,"2019-11-21","8H 42M 2S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,93774.5078125,66833.7734375,91843.5,128472.96484375,67081.53125,125970.5,6528.14990234375,6489,6690.1298828125,6608.5,7981.71044921875,7769,8049.3603515625,7796,3835.75500488281,4043,3360.06005859375,3527,5470.740234375,5196,5938.07495117188,5880,5793.44970703125,5749,5533.44970703125,5487,3163.5498046875,3216,NA,NA,NA,NA,NA,NA,NA,NA
"20-NOV-2019",2019-11-20 12:01:10,"2019-11-20","12H 1M 10S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,91320.2109375,65639.9609375,91125,127446.6640625,65919.4375,126901,6401.77001953125,6478,6451.60986328125,6481,7804.50048828125,7728,8032.8603515625,7907,4015.43994140625,4422,3470.93994140625,3827,5498.4599609375,5449,5777.19970703125,5801,5690.75,5719,5396.2998046875,5444,3192.7998046875,3311,NA,NA,NA,NA,NA,NA,NA,NA
"19-NOV-2019",2019-11-19 13:39:02,"2019-11-19","13H 39M 2S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,505,NA,411,NA,560,NA,626,NA,511,NA,410,NA,497,NA,359,NA,450,NA,396,NA,416,NA,93892.05078125,67461.33984375,91046.5,128820.453125,66725.296875,126381,6427.52001953125,NA,6526.9599609375,NA,7639.17041015625,NA,8235.150390625,NA,4490.15966796875,NA,4188.0595703125,NA,6022.91943359375,NA,5967.67993164062,NA,10931.5200195312,NA,5073.919921875,NA,2793.27990722656,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19-NOV-2019",2019-11-19 09:37:32,"2019-11-19","9H 37M 32S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,91830.9140625,66774.765625,90179,126729.90625,67027.9765625,124404.5,6084.0400390625,6083,5666.6298828125,5634,7935.18017578125,7716,7972.80029296875,7734.5,3916.93493652344,4245.5,3420.44995117188,3693,5452.919921875,5330,5952.69970703125,5902.5,5867.87475585938,5804,5436.599609375,5398,2973.75,3047,NA,NA,NA,NA,NA,NA,NA,NA
"18-NOV-2019",2019-11-18 13:22:47,"2019-11-18","13H 22M 47S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,505,NA,411,NA,560,NA,626,NA,511,NA,410,NA,497,NA,359,NA,450,NA,396,NA,416,NA,93629.2421875,67965.1484375,90124,128593.7421875,66989.4296875,125581,6210.16015625,NA,6371.2001953125,NA,7542.48046875,NA,8154.30029296875,NA,4514.53955078125,NA,4194.419921875,NA,6020.7998046875,NA,5902.7197265625,NA,10811.51953125,NA,5018.23974609375,NA,2830.71997070312,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15-NOV-2019",2019-11-15 08:38:30,"2019-11-15","8H 38M 30S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,505,NA,411,NA,560,NA,626,NA,511,NA,410,NA,497,NA,359,NA,450,NA,396,NA,416,NA,95360.2578125,67345.6875,92738,130843.6875,66822.515625,128802,6206.64013671875,NA,6674.7998046875,NA,7758.30029296875,NA,8323.919921875,NA,4093.7197265625,NA,3870.05981445312,NA,5864.9794921875,NA,6059.52001953125,NA,11053.439453125,NA,5233.27978515625,NA,2945.28002929688,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14-NOV-2019",2019-11-14 08:41:29,"2019-11-14","8H 41M 29S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,93524.21875,67352.52734375,90902.5,130872.39453125,67505.51953125,127499.5,6328.7900390625,6252.5,6247.7998046875,6096,8088.96044921875,7819.5,8067.18017578125,7762,3809.52001953125,4009.5,3322.43994140625,3482,5386.58984375,5097.5,5911.4248046875,5800,5763.5498046875,5637,5434,5358,2996.5,3003,NA,NA,NA,NA,NA,NA,NA,NA
"13-NOV-2019",2019-11-13 14:34:34,"2019-11-13","14H 34M 34S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,92003.8515625,65337.21875,92311,127872.3671875,65499.15234375,128497,6262.9296875,6361,6112.52001953125,6150,7873.80029296875,7839,7972.80029296875,7898,3977.82006835938,4375,3430.35009765625,3775,5446.97998046875,5414,5806.44970703125,5854,5731.69970703125,5781,5367.69970703125,5419,3073.84985351562,3198,NA,NA,NA,NA,NA,NA,NA,NA
"12-NOV-2019",2019-11-12 08:38:05,"2019-11-12","8H 38M 5S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,505,NA,411,NA,560,NA,626,NA,511,NA,410,NA,497,NA,359,NA,450,NA,396,NA,416,NA,95716.9609375,67922.3046875,92341,130895.828125,67258.3671875,127769,6780.39990234375,NA,7679.759765625,NA,7628.2802734375,NA,8389.919921875,NA,4441.39990234375,NA,4194.419921875,NA,6249.759765625,NA,6128.6396484375,NA,11200,NA,5388.15966796875,NA,3132.80004882812,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11-NOV-2019",2019-11-11 09:58:19,"2019-11-11","9H 58M 19S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,91276.06640625,66161.01171875,90440.5,126306.84765625,66365.7734375,125202.5,6273.60986328125,6291,6313.65966796875,6278.5,7846.41015625,7718,8036.8203125,7873,4162.9501953125,4533.5,3583.80004882812,3902,5650.919921875,5559,5872.099609375,5867,5778.82495117188,5760,5445.0498046875,5449,3240.89990234375,3345.5,NA,NA,NA,NA,NA,NA,NA,NA
"05-NOV-2019",2019-11-05 08:27:56,"2019-11-05","8H 27M 56S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,93744.5390625,65771.5703125,92984.5,132040.59375,66181.24609375,131058.5,6798.7099609375,6800,4933.27001953125,4924,8127.5703125,8024,7526.31030273438,7403,4096.6201171875,4327,3592.7099609375,3779.5,5262.83984375,4989,5963.099609375,5965.5,5795.07495117188,5810,5138.57495117188,5139.5,2178.14990234375,2246,NA,NA,NA,NA,NA,NA,NA,NA
"04-NOV-2019",2019-11-04 09:22:28,"2019-11-04","9H 22M 28S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,92271.5546875,65482.681640625,92377.5,127691.85546875,65733.8984375,127377,6392.8701171875,6417,4551.4599609375,4559,7939.80029296875,7875.5,7390.68017578125,7303,4209.47998046875,4562,3671.91015625,3942,5209.875,5056,5895.82495117188,5913,5754.44970703125,5788,5003.0498046875,5031.5,2200.25,2285,NA,NA,NA,NA,NA,NA,NA,NA
"01-NOV-2019",2019-11-01 11:44:46,"2019-11-01","11H 44M 46S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,86293.7578125,64710.541015625,87354.5,123468.51171875,64591.916015625,125243.5,6282.509765625,6380,4864.73974609375,4908,7617.06005859375,7659,7246.47021484375,7269,4397.580078125,4798,3799.6201171875,4125,5295.51025390625,5180,5676.77465820312,5772,5574.39990234375,5680,4901,5003.5,2261.34985351562,2386.5,NA,NA,NA,NA,NA,NA,NA,NA
"01-NOV-2019",2019-11-01 10:05:19,"2019-11-01","10H 5M 19S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,505,NA,411,NA,560,NA,626,NA,511,NA,410,NA,497,NA,359,NA,450,NA,396,NA,416,NA,62828.1484375,55943.716796875,73158.5,115170.6640625,65223.466796875,114838,6428.84008789062,NA,4308.0400390625,NA,6219.18041992188,NA,5959.80029296875,NA,3591.80981445312,NA,3456.12976074219,NA,979.969940185547,NA,9958.39990234375,NA,768.959991455078,NA,3785.919921875,NA,1758.07995605469,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-NOV-2019",2019-11-01 08:35:08,"2019-11-01","8H 35M 8S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,505,NA,411,NA,560,NA,626,NA,511,NA,410,NA,497,NA,359,NA,450,NA,396,NA,416,NA,93135.19140625,67131.15234375,90894.5,127603.7421875,66626.51171875,125762,4475.68017578125,NA,5986.64013671875,NA,7452.06005859375,NA,7780.740234375,NA,4758.33984375,NA,4509.23974609375,NA,6165.48950195312,NA,6131.19970703125,NA,11109.4399414062,NA,5118.7197265625,NA,2587.52001953125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31-OCT-2019",2019-10-31 12:19:14,"2019-10-31","12H 19M 14S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,88763.0390625,64564.232421875,89721.5,125116.53515625,64460.328125,127058.5,4277.33984375,4363,5276.81005859375,5330,7693.6201171875,7748.5,7532.580078125,7561,4442.1298828125,4890,3844.169921875,4206,5581.125,5469.5,5792.7998046875,5891.5,5692.0498046875,5776,5128.1748046875,5228,2637.0498046875,2780,NA,NA,NA,NA,NA,NA,NA,NA
"31-OCT-2019",2019-10-31 10:47:29,"2019-10-31","10H 47M 29S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,505,NA,411,NA,560,NA,626,NA,511,NA,410,NA,497,NA,359,NA,450,NA,396,NA,416,NA,90242.640625,66706.8984375,88451,124154.5859375,65760.140625,123644,4624.39990234375,NA,7421.919921875,NA,7255.38037109375,NA,8006.46044921875,NA,4807.099609375,NA,4492.27978515625,NA,6374.83984375,NA,6000.6396484375,NA,10949.1201171875,NA,5249.27978515625,NA,3127.67993164062,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30-OCT-2019",2019-10-30 12:15:07,"2019-10-30","12H 15M 7S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,87686.546875,64533.765625,88876,122049.1875,64711.62890625,123407,4619.98974609375,4704,6430.25,6477,7537.2001953125,7573,7740.48046875,7740,4437.18017578125,4897,3820.41015625,4205,5783.580078125,5719,5759,5877,5666.69970703125,5772,5343.64990234375,5468,3181.09985351562,3365,NA,NA,NA,NA,NA,NA,NA,NA
"25-OCT-2019",2019-10-25 11:19:57,"2019-10-25","11H 19M 57S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,505,NA,411,NA,560,NA,626,NA,511,NA,410,NA,497,NA,359,NA,450,NA,396,NA,416,NA,92960.9375,66571.953125,91181,127974.6640625,65745.078125,127176,4468.64013671875,NA,6930.8798828125,NA,7422.3603515625,NA,8102.16015625,NA,4645.97998046875,NA,4311.01953125,NA,6076.9794921875,NA,5866.23974609375,NA,10729.599609375,NA,5085.43994140625,NA,3036.15991210938,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24-OCT-2019",2019-10-24 12:41:57,"2019-10-24","12H 41M 57S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,505,NA,411,NA,560,NA,626,NA,511,NA,410,NA,497,NA,359,NA,450,NA,396,NA,416,NA,92891.2421875,67291.78125,90082,127798.4453125,66310.2265625,126101,4629.68017578125,NA,7090.16015625,NA,7479.1201171875,NA,8167.50048828125,NA,4694.73974609375,NA,4362.9599609375,NA,6147.99951171875,NA,5850.23974609375,NA,10673.279296875,NA,5097.60009765625,NA,3022.71997070312,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23-OCT-2019",2019-10-23 12:14:03,"2019-10-23","12H 14M 3S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,505,505,406,406,563,563,624,624,510,510,405,405,496,496,357,357,411,411,397,397,416,416,89767.4375,64889.6015625,90515,124375.0234375,65062.19921875,125390,4574.60009765625,4675,6073.35986328125,6129,7692.30029296875,7691,7739.16015625,7717,4377.7802734375,4848,3787.73999023438,4187,5690.52001953125,5671,5841.5498046875,5938,5741.44970703125,5831,5363.14990234375,5449,3046.5498046875,3195,NA,NA,NA,NA,NA,NA,NA,NA
