"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","R660-A_Gain","R660-H_Gain","R780-A_Gain","R780-H_Gain","B530-A_Gain","B530-H_Gain","B695-A_Gain","B695-H_Gain","V450-A_Gain","V450-H_Gain","V530-A_Gain","V530-H_Gain","V710-A_Gain","V710-H_Gain","Y590-A_Gain","Y590-H_Gain","Y610-A_Gain","Y610-H_Gain","Y670-A_Gain","Y670-H_Gain","Y780-A_Gain","Y780-H_Gain","FSC-A-% rCV","FSC-H-% rCV","FSC-W-% rCV","SSC-A-% rCV","SSC-H-% rCV","SSC-W-% rCV","R660-A-% rCV","R660-H-% rCV","R780-A-% rCV","R780-H-% rCV","B530-A-% rCV","B530-H-% rCV","B695-A-% rCV","B695-H-% rCV","V450-A-% rCV","V450-H-% rCV","V530-A-% rCV","V530-H-% rCV","V710-A-% rCV","V710-H-% rCV","Y590-A-% rCV","Y590-H-% rCV","Y610-A-% rCV","Y610-H-% rCV","Y670-A-% rCV","Y670-H-% rCV","Y780-A-% rCV","Y780-H-% rCV","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","R660-A","R660-H","R780-A","R780-H","B530-A","B530-H","B695-A","B695-H","V450-A","V450-H","V530-A","V530-H","V710-A","V710-H","Y590-A","Y590-H","Y610-A","Y610-H","Y670-A","Y670-H","Y780-A","Y780-H","Red_LaserDelay","Blue_LaserDelay","Violet_LaserDelay","Yellow_LaserDelay","Red_AreaScalingFactor","Blue_AreaScalingFactor","Violet_AreaScalingFactor","Yellow_AreaScalingFactor"
"11-DEC-2017",2017-12-11 10:11:25,"2017-12-11","10H 11M 25S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,5.76,1.19,5.4,6.02,0.97,6.61,7.01,7.1,11.24,10.56,6.23,6.39,7.6,7.89,8.84,8.47,8.35,8,9.14,8.7,4.5,6.09,4.63,5.58,5.63,5.74,10.75,11.24,128138.515625,68422.359375,122761,124148.8203125,67664.2578125,120875,8896.5791015625,8684,8291.3193359375,7976,9478.3798828125,9077,9801.4599609375,9265,9138.3095703125,9065,9307.8095703125,9231,10581.3203125,9320,10992.7294921875,10269,11459.12890625,10873,12149.7197265625,11964,11275.2197265625,11488,NA,NA,NA,NA,NA,NA,NA,NA
"08-DEC-2017",2017-12-08 11:12:10,"2017-12-08","11H 12M 10S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,4.37,1.05,4.19,4.59,0.89,5.23,5.14,NA,9.54,NA,4.59,NA,5.79,NA,8.19,NA,7.75,NA,8.1,NA,3.21,NA,3.06,NA,3.68,NA,8.39,NA,123882.56640625,66614.0703125,121977,124655.20703125,66714.32421875,122990.5,9817.25,NA,8840.3408203125,NA,9457.4345703125,NA,11397.974609375,NA,9886.6796875,NA,9214.4599609375,NA,10216.1201171875,NA,11060.5693359375,NA,11458.0693359375,NA,10941.5844726562,NA,11464.958984375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"07-DEC-2017",2017-12-07 13:47:14,"2017-12-07","13H 47M 14S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,5.61,1.29,5.53,4.82,1.02,5.56,5.96,NA,11.1,NA,5.65,NA,7.07,NA,8.21,NA,8.13,NA,8.51,NA,3.93,NA,3.89,NA,4.97,NA,10.25,NA,123789.23828125,67239.7265625,120670.5,124070.05859375,67324.41015625,121356,10013.060546875,NA,8992.8154296875,NA,9378.5849609375,NA,11209.9794921875,NA,10109.3994140625,NA,9430.2197265625,NA,10379.099609375,NA,11057.1245117188,NA,11528.8247070312,NA,10963.314453125,NA,11467.3447265625,NA,NA,NA,NA,NA,NA,NA,NA,NA
"05-DEC-2017",2017-12-05 14:40:31,"2017-12-05","14H 40M 31S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,2.98,1.05,2.86,4.29,0.84,5.02,4.12,NA,8.5,NA,3.34,NA,4.59,NA,4.89,NA,4.5,NA,7.25,NA,3.21,NA,2.96,NA,3.23,NA,6.59,NA,123747.4140625,65860.515625,123282,126086.9609375,65939.8203125,125838,9770.1708984375,NA,8770.7900390625,NA,9545,NA,11496.330078125,NA,10413.3193359375,NA,9660.4794921875,NA,10444.6396484375,NA,10823.6591796875,NA,11154.9091796875,NA,10956.1591796875,NA,11111.9794921875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"05-DEC-2017",2017-12-05 08:43:29,"2017-12-05","8H 43M 29S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,5.29,1.19,5.17,4.91,1,5.77,5.32,5.55,9.88,9.31,5.07,5.35,6.41,6.74,9.36,9.28,8.66,8.44,8.3,8.3,3.9,5.53,3.96,4.81,4.76,5.17,9.9,10.39,123036.4765625,67143.98046875,120129,123958.98828125,66454.11328125,122925.5,8795.8798828125,8699.5,8443.9599609375,8220,9049.51953125,8833,9393.099609375,9023,8913.4404296875,8910,9050.169921875,9053.5,10233.2802734375,9288.5,10484.1943359375,10057,10962.51953125,10688,11736.5844726562,11807.5,11273.099609375,11671,NA,NA,NA,NA,NA,NA,NA,NA
"04-DEC-2017",2017-12-04 09:39:29,"2017-12-04","9H 39M 29S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,10.11,1.64,9.58,8.16,1.35,9.03,7.71,7.71,13.28,12.5,7.83,7.89,9.1,9.24,13.46,13.01,13.08,12.74,11.05,10.31,5.88,7.44,6.16,7.03,7.47,7.51,13.38,13.78,124359.41796875,67391.75,120814.5,124879.84765625,66718.92578125,123593,8979.78955078125,8842,6843.8896484375,6654,9279.52978515625,9018,8840.419921875,8462,8968.24462890625,8968.5,9149.60986328125,9163,9599.349609375,8678.5,10663.0693359375,10161,11254.814453125,10753.5,11086.5390625,11121.5,8856.0341796875,9177,NA,NA,NA,NA,NA,NA,NA,NA
"30-NOV-2017",2017-11-30 10:45:29,"2017-11-30","10H 45M 29S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,9.1,1.57,8.58,7.19,1.28,8.02,6.91,NA,11.94,NA,7.09,NA,8.31,NA,11.83,NA,11.08,NA,9.65,NA,5,NA,4.91,NA,6.09,NA,11.75,NA,126813.5390625,67327.765625,123502,126592.4296875,67410.953125,123903,10051.580078125,NA,7722.1904296875,NA,9750.83984375,NA,10809.08984375,NA,9912.2001953125,NA,9313.6396484375,NA,9608.279296875,NA,11122.5791015625,NA,11609.6494140625,NA,10360.439453125,NA,9669.3193359375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29-NOV-2017",2017-11-29 11:11:59,"2017-11-29","11H 11M 59S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,6.12,1.25,5.93,5.02,1.02,5.68,5.27,NA,9.58,NA,5.84,NA,6.89,NA,9.95,NA,9.84,NA,8.97,NA,4.27,NA,4.14,NA,5.1,NA,9.99,NA,126630.9609375,67795.0703125,122520,127519.5390625,67910.7890625,123664,9882.5205078125,NA,9010.470703125,NA,9581.51953125,NA,11383.4501953125,NA,9681.359375,NA,9101.359375,NA,10182.4794921875,NA,11285.2890625,NA,11666.8896484375,NA,11102.439453125,NA,11628.19921875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28-NOV-2017",2017-11-28 11:36:32,"2017-11-28","11H 36M 32S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,6.15,1.35,5.93,5.53,1.1,6.47,5.21,NA,9.86,NA,5.03,NA,6.53,NA,10.55,NA,10.18,NA,9,NA,4.25,NA,4.04,NA,4.73,NA,9.69,NA,126417.78125,67300.859375,123150,125619.6640625,67370.78125,122986,10326.5703125,NA,8239,NA,9720.1298828125,NA,11029.8701171875,NA,9940.0400390625,NA,9321.759765625,NA,9876.2392578125,NA,11206.3193359375,NA,11622.8994140625,NA,10704.4091796875,NA,10232.1796875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21-NOV-2017",2017-11-21 09:17:06,"2017-11-21","9H 17M 6S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,7,1.46,6.96,6.12,1.21,6.88,6.24,NA,11.52,NA,6.2,NA,7.41,NA,11.01,NA,10.46,NA,9.59,NA,5.12,NA,4.9,NA,6.31,NA,11.8,NA,128916.78125,68058.390625,124381,129680.03125,68099,125551,10189.6103515625,NA,8425.1806640625,NA,9859.5693359375,NA,11304.599609375,NA,10122.16015625,NA,9342.6396484375,NA,10136.080078125,NA,11268.859375,NA,11524.849609375,NA,10963.5791015625,NA,10532.1591796875,NA,NA,NA,NA,NA,NA,NA,NA,NA
