"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","R660-A_Gain","R660-H_Gain","R780-A_Gain","R780-H_Gain","B530-A_Gain","B530-H_Gain","B695-A_Gain","B695-H_Gain","V450-A_Gain","V450-H_Gain","V530-A_Gain","V530-H_Gain","V710-A_Gain","V710-H_Gain","Y590-A_Gain","Y590-H_Gain","Y610-A_Gain","Y610-H_Gain","Y670-A_Gain","Y670-H_Gain","Y780-A_Gain","Y780-H_Gain","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","R660-A","R660-H","R780-A","R780-H","B530-A","B530-H","B695-A","B695-H","V450-A","V450-H","V530-A","V530-H","V710-A","V710-H","Y590-A","Y590-H","Y610-A","Y610-H","Y670-A","Y670-H","Y780-A","Y780-H","Red_LaserDelay","Blue_LaserDelay","Violet_LaserDelay","Yellow_LaserDelay","Red_AreaScalingFactor","Blue_AreaScalingFactor","Violet_AreaScalingFactor","Yellow_AreaScalingFactor"
"23-DEC-2021",2021-12-23 08:32:49,"2021-12-23","8H 32M 49S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,533,NA,423,NA,589,NA,649,NA,561,NA,454,NA,517,NA,385,NA,448,NA,427,NA,473,NA,33832.9765625,64824.650390625,34257.5,72706.05859375,65938.91015625,72525,9397.349609375,NA,7170.74975585938,NA,7153.25537109375,NA,6551.93017578125,NA,9292.19970703125,NA,9162.66015625,NA,8890.830078125,NA,9509.310546875,NA,9582.0048828125,NA,8622.5654296875,NA,6657.7900390625,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22-DEC-2021",2021-12-22 12:15:22,"2021-12-22","12H 15M 22S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,533,NA,423,NA,589,NA,649,NA,561,NA,454,NA,517,NA,385,NA,448,NA,427,NA,473,NA,41409.44921875,68019.2109375,40413,100678.890625,68011.671875,98518,11578.5,NA,8507.7001953125,NA,10172.6103515625,NA,9198.4306640625,NA,13521.1201171875,NA,13315.080078125,NA,11939.099609375,NA,13600.330078125,NA,13674.0302734375,NA,11668.0498046875,NA,8708.66015625,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21-DEC-2021",2021-12-21 12:22:19,"2021-12-21","12H 22M 19S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,533,NA,423,NA,589,NA,649,NA,561,NA,454,NA,517,NA,385,NA,448,NA,427,NA,473,NA,35790.099609375,66499.95703125,35223.5,82059.2578125,66358.02734375,81426,8577.44970703125,NA,6777.89990234375,NA,8062.1103515625,NA,7443.0302734375,NA,9279.9599609375,NA,9142.259765625,NA,8770.4697265625,NA,9442.98046875,NA,9587.0302734375,NA,8638.6455078125,NA,6955.93994140625,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16-DEC-2021",2021-12-16 09:05:21,"2021-12-16","9H 5M 21S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,536,536,424,424,591,591,651,651,557,557,454,454,514,514,384,384,447,447,427,427,476,476,35534.25,64360.083984375,36172,75914.18359375,64861.923828125,77174,9393.9296875,9482,6399.330078125,6402,7879.16015625,7915,7036.98022460938,7022.5,9197.4599609375,8845,9617.0400390625,9227,8650.23046875,7750,8691.759765625,8975,8840,9082,8006.3203125,8149,6304.9599609375,6436,NA,NA,NA,NA,NA,NA,NA,NA
"15-DEC-2021",2021-12-15 10:30:35,"2021-12-15","10H 30M 35S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,536,536,424,424,591,591,651,651,557,557,454,454,514,514,384,384,447,447,427,427,476,476,44567.203125,65345.3046875,44888,102078.203125,65364.26171875,102854,11729.16015625,11711,7901.2802734375,7804,10792.2802734375,10749,9455.400390625,9354,12644.009765625,12059,13341.08984375,12705,11363.0703125,9922,12520.16015625,12866,12673.16015625,12952,11033,11148,8372.16015625,8485,NA,NA,NA,NA,NA,NA,NA,NA
"14-DEC-2021",2021-12-14 09:28:40,"2021-12-14","9H 28M 40S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,536,536,424,424,591,591,651,651,557,557,454,454,514,514,384,384,447,447,427,427,476,476,36788,63940.73046875,37668,77729.4375,64214.328125,79639,9338.1298828125,9533,6608.580078125,6701,7866.240234375,7943,7045.47998046875,7104,8807.8505859375,8558,9203.009765625,8926,8522.580078125,7720,8798.5205078125,9193,8945.400390625,9272,8111.72021484375,8349,6469.52001953125,6681,NA,NA,NA,NA,NA,NA,NA,NA
"09-DEC-2021",2021-12-09 09:27:51,"2021-12-09","9H 27M 51S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,536,536,424,424,591,591,651,651,557,557,454,454,514,514,384,384,447,447,427,427,476,476,36248.25,65014.75390625,36422,77039.921875,64927.07421875,77966,9313.0205078125,9388,7204.7099609375,7209,7807.76025390625,7823,7247.43994140625,7185,8669.1005859375,8333,9077.580078125,8697,8709.060546875,7760,8755.6796875,9009,8905.9599609375,9137,8291.919921875,8444,7167.2001953125,7283,NA,NA,NA,NA,NA,NA,NA,NA
"08-DEC-2021",2021-12-08 09:44:54,"2021-12-08","9H 44M 54S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,536,536,424,424,591,591,651,651,557,557,454,454,514,514,384,384,447,447,427,427,476,476,37099.94921875,64588.81640625,37584,78628.3984375,64860.171875,79904,8795.009765625,8892,6557.43017578125,6572,8142.3203125,8188,7344.68017578125,7341,8966.580078125,8687,9350.6396484375,9037,8461.5302734375,7630,8734.599609375,9033,8880.1201171875,9143,8161.35986328125,8338,6891.80029296875,7031,NA,NA,NA,NA,NA,NA,NA,NA
"06-DEC-2021",2021-12-06 09:48:57,"2021-12-06","9H 48M 57S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,536,536,424,424,591,591,651,651,557,557,454,454,514,514,384,384,447,447,427,427,476,476,37972.900390625,64376.1328125,38642,77784.86328125,64404.177734375,79536.5,9098.6552734375,9242,6915.47998046875,6984,8159.3203125,8241,7381.06005859375,7401.5,9281.26513671875,8994,9694.740234375,9367,8685.75,7837.5,8891,9226,9016.80029296875,9355,8211,8411,7231.1201171875,7487,NA,NA,NA,NA,NA,NA,NA,NA
"03-DEC-2021",2021-12-03 09:35:57,"2021-12-03","9H 35M 57S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,536,536,424,424,591,591,651,651,557,557,454,454,514,514,384,384,447,447,427,427,476,476,37677.94921875,64961.02734375,37995,80231.84375,65076.21875,81222,9305.580078125,9391,6589.05029296875,6602,8102.8798828125,8122,7308.64013671875,7257,9157.5,8814,9594.83984375,9171,8638.0205078125,7726,8835.240234375,9052,8989.599609375,9183,8145.72021484375,8230,6606.2001953125,6740,NA,NA,NA,NA,NA,NA,NA,NA
