"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","R660-A_Gain","R660-H_Gain","R780-A_Gain","R780-H_Gain","B530-A_Gain","B530-H_Gain","B695-A_Gain","B695-H_Gain","V450-A_Gain","V450-H_Gain","V530-A_Gain","V530-H_Gain","V710-A_Gain","V710-H_Gain","Y590-A_Gain","Y590-H_Gain","Y610-A_Gain","Y610-H_Gain","Y670-A_Gain","Y670-H_Gain","Y780-A_Gain","Y780-H_Gain","FSC-A-% rCV","FSC-H-% rCV","FSC-W-% rCV","SSC-A-% rCV","SSC-H-% rCV","SSC-W-% rCV","R660-A-% rCV","R660-H-% rCV","R780-A-% rCV","R780-H-% rCV","B530-A-% rCV","B530-H-% rCV","B695-A-% rCV","B695-H-% rCV","V450-A-% rCV","V450-H-% rCV","V530-A-% rCV","V530-H-% rCV","V710-A-% rCV","V710-H-% rCV","Y590-A-% rCV","Y590-H-% rCV","Y610-A-% rCV","Y610-H-% rCV","Y670-A-% rCV","Y670-H-% rCV","Y780-A-% rCV","Y780-H-% rCV","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","R660-A","R660-H","R780-A","R780-H","B530-A","B530-H","B695-A","B695-H","V450-A","V450-H","V530-A","V530-H","V710-A","V710-H","Y590-A","Y590-H","Y610-A","Y610-H","Y670-A","Y670-H","Y780-A","Y780-H","Red_LaserDelay","Blue_LaserDelay","Violet_LaserDelay","Yellow_LaserDelay","Red_AreaScalingFactor","Blue_AreaScalingFactor","Violet_AreaScalingFactor","Yellow_AreaScalingFactor"
"23-DEC-2021",2021-12-23 08:32:49,"2021-12-23","8H 32M 49S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,533,NA,423,NA,589,NA,649,NA,561,NA,454,NA,517,NA,385,NA,448,NA,427,NA,473,NA,7.71,1.88,7.82,7.3,1.28,7.9,4.44,NA,5.87,NA,6.89,NA,7.88,NA,8.28,NA,7.53,NA,8.71,NA,3.66,NA,3.72,NA,4.94,NA,7.38,NA,33832.9765625,64824.650390625,34257.5,72706.05859375,65938.91015625,72525,9397.349609375,NA,7170.74975585938,NA,7153.25537109375,NA,6551.93017578125,NA,9292.19970703125,NA,9162.66015625,NA,8890.830078125,NA,9509.310546875,NA,9582.0048828125,NA,8622.5654296875,NA,6657.7900390625,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22-DEC-2021",2021-12-22 12:15:22,"2021-12-22","12H 15M 22S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,533,NA,423,NA,589,NA,649,NA,561,NA,454,NA,517,NA,385,NA,448,NA,427,NA,473,NA,5.86,3.21,6.28,10.56,2.53,11.8,5.53,NA,7.9,NA,10.2,NA,9.46,NA,8.35,NA,7.43,NA,10.06,NA,3.94,NA,4.22,NA,4.86,NA,7.88,NA,41409.44921875,68019.2109375,40413,100678.890625,68011.671875,98518,11578.5,NA,8507.7001953125,NA,10172.6103515625,NA,9198.4306640625,NA,13521.1201171875,NA,13315.080078125,NA,11939.099609375,NA,13600.330078125,NA,13674.0302734375,NA,11668.0498046875,NA,8708.66015625,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21-DEC-2021",2021-12-21 12:22:19,"2021-12-21","12H 22M 19S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,533,NA,423,NA,589,NA,649,NA,561,NA,454,NA,517,NA,385,NA,448,NA,427,NA,473,NA,7.92,3.24,6.56,6.45,1.63,7.63,5.05,NA,6.61,NA,5.66,NA,7.02,NA,8.25,NA,7.61,NA,8.85,NA,3.61,NA,3.7,NA,4.49,NA,7.12,NA,35790.099609375,66499.95703125,35223.5,82059.2578125,66358.02734375,81426,8577.44970703125,NA,6777.89990234375,NA,8062.1103515625,NA,7443.0302734375,NA,9279.9599609375,NA,9142.259765625,NA,8770.4697265625,NA,9442.98046875,NA,9587.0302734375,NA,8638.6455078125,NA,6955.93994140625,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16-DEC-2021",2021-12-16 09:05:21,"2021-12-16","9H 5M 21S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,536,536,424,424,591,591,651,651,557,557,454,454,514,514,384,384,447,447,427,427,476,476,5.23,1.64,5.56,5.31,1.25,6.26,4.92,5.78,7.39,7.94,5.87,6.59,7.82,8.77,7.08,7.8,6.09,6.67,7.8,8.03,3.78,4.98,3.71,4.52,4.92,5.69,7.74,9.58,35534.25,64360.083984375,36172,75914.18359375,64861.923828125,77174,9393.9296875,9482,6399.330078125,6402,7879.16015625,7915,7036.98022460938,7022.5,9197.4599609375,8845,9617.0400390625,9227,8650.23046875,7750,8691.759765625,8975,8840,9082,8006.3203125,8149,6304.9599609375,6436,NA,NA,NA,NA,NA,NA,NA,NA
"15-DEC-2021",2021-12-15 10:30:35,"2021-12-15","10H 30M 35S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,536,536,424,424,591,591,651,651,557,557,454,454,514,514,384,384,447,447,427,427,476,476,4.93,1.95,5.02,6.57,1.67,6.93,5.02,5.72,6.77,7.43,7.24,7.63,8.73,8.89,7.61,8.96,8.03,7.73,7.6,8.55,3.93,4.75,3.33,4.35,4.56,5.48,8.96,10.29,44567.203125,65345.3046875,44888,102078.203125,65364.26171875,102854,11729.16015625,11711,7901.2802734375,7804,10792.2802734375,10749,9455.400390625,9354,12644.009765625,12059,13341.08984375,12705,11363.0703125,9922,12520.16015625,12866,12673.16015625,12952,11033,11148,8372.16015625,8485,NA,NA,NA,NA,NA,NA,NA,NA
"14-DEC-2021",2021-12-14 09:28:40,"2021-12-14","9H 28M 40S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,536,536,424,424,591,591,651,651,557,557,454,454,514,514,384,384,447,447,427,427,476,476,7.2,1.59,7.18,6.16,1.14,6.88,5.71,6.19,8.26,8.65,7.63,7.95,8.9,9.58,8.31,8.97,7.87,8.02,8.77,8.97,5.28,6.24,5.7,6.01,6.92,7.21,10.16,11.12,36788,63940.73046875,37668,77729.4375,64214.328125,79639,9338.1298828125,9533,6608.580078125,6701,7866.240234375,7943,7045.47998046875,7104,8807.8505859375,8558,9203.009765625,8926,8522.580078125,7720,8798.5205078125,9193,8945.400390625,9272,8111.72021484375,8349,6469.52001953125,6681,NA,NA,NA,NA,NA,NA,NA,NA
"09-DEC-2021",2021-12-09 09:27:51,"2021-12-09","9H 27M 51S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,536,536,424,424,591,591,651,651,557,557,454,454,514,514,384,384,447,447,427,427,476,476,7.42,1.8,7.5,6.48,1.19,6.87,5.48,6.03,8.06,8.31,7.35,7.94,9.1,9.72,8.2,8.9,7.99,8.23,8.82,8.94,4.56,5.6,4.74,5.26,6.1,6.62,9.14,10.3,36248.25,65014.75390625,36422,77039.921875,64927.07421875,77966,9313.0205078125,9388,7204.7099609375,7209,7807.76025390625,7823,7247.43994140625,7185,8669.1005859375,8333,9077.580078125,8697,8709.060546875,7760,8755.6796875,9009,8905.9599609375,9137,8291.919921875,8444,7167.2001953125,7283,NA,NA,NA,NA,NA,NA,NA,NA
"08-DEC-2021",2021-12-08 09:44:54,"2021-12-08","9H 44M 54S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,536,536,424,424,591,591,651,651,557,557,454,454,514,514,384,384,447,447,427,427,476,476,5.62,1.73,5.98,5.48,1.23,6.42,5.2,6,7.34,7.6,6.05,6.83,7.6,8.64,8,8.87,7.13,7.87,8.15,8.59,3.82,5.2,3.75,4.75,4.84,5.62,7.78,9.55,37099.94921875,64588.81640625,37584,78628.3984375,64860.171875,79904,8795.009765625,8892,6557.43017578125,6572,8142.3203125,8188,7344.68017578125,7341,8966.580078125,8687,9350.6396484375,9037,8461.5302734375,7630,8734.599609375,9033,8880.1201171875,9143,8161.35986328125,8338,6891.80029296875,7031,NA,NA,NA,NA,NA,NA,NA,NA
"06-DEC-2021",2021-12-06 09:48:57,"2021-12-06","9H 48M 57S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,536,536,424,424,591,591,651,651,557,557,454,454,514,514,384,384,447,447,427,427,476,476,4.92,1.64,5.25,5.52,1.33,6.59,4.6,5.45,6.59,7.61,5.52,6.36,7.36,8.48,6.75,7.67,6.14,6.58,7.81,8.37,3.87,5.08,3.72,4.82,4.55,5.43,7.53,9.49,37972.900390625,64376.1328125,38642,77784.86328125,64404.177734375,79536.5,9098.6552734375,9242,6915.47998046875,6984,8159.3203125,8241,7381.06005859375,7401.5,9281.26513671875,8994,9694.740234375,9367,8685.75,7837.5,8891,9226,9016.80029296875,9355,8211,8411,7231.1201171875,7487,NA,NA,NA,NA,NA,NA,NA,NA
"03-DEC-2021",2021-12-03 09:35:57,"2021-12-03","9H 35M 57S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,536,536,424,424,591,591,651,651,557,557,454,454,514,514,384,384,447,447,427,427,476,476,5.33,1.57,5.51,5.54,1.15,6.37,5.14,5.75,7.58,8.02,6.46,7.12,8.25,9.07,7.3,8.29,6.55,6.97,8.12,8.5,4.02,5.21,4.13,4.78,5.15,5.76,8.33,9.9,37677.94921875,64961.02734375,37995,80231.84375,65076.21875,81222,9305.580078125,9391,6589.05029296875,6602,8102.8798828125,8122,7308.64013671875,7257,9157.5,8814,9594.83984375,9171,8638.0205078125,7726,8835.240234375,9052,8989.599609375,9183,8145.72021484375,8230,6606.2001953125,6740,NA,NA,NA,NA,NA,NA,NA,NA
