"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","R660-A_Gain","R660-H_Gain","R780-A_Gain","R780-H_Gain","B530-A_Gain","B530-H_Gain","B695-A_Gain","B695-H_Gain","V450-A_Gain","V450-H_Gain","V530-A_Gain","V530-H_Gain","V710-A_Gain","V710-H_Gain","Y590-A_Gain","Y590-H_Gain","Y610-A_Gain","Y610-H_Gain","Y670-A_Gain","Y670-H_Gain","Y780-A_Gain","Y780-H_Gain","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","R660-A","R660-H","R780-A","R780-H","B530-A","B530-H","B695-A","B695-H","V450-A","V450-H","V530-A","V530-H","V710-A","V710-H","Y590-A","Y590-H","Y610-A","Y610-H","Y670-A","Y670-H","Y780-A","Y780-H","Red_LaserDelay","Blue_LaserDelay","Violet_LaserDelay","Yellow_LaserDelay","Red_AreaScalingFactor","Blue_AreaScalingFactor","Violet_AreaScalingFactor","Yellow_AreaScalingFactor"
"21-DEC-2023",2023-12-21 10:00:34,"2023-12-21","10H 0M 34S","Unknown","2.16.0","Unknown","Unknown",500,500,500,380,380,380,533,533,436,436,640,640,700,700,558,558,450,450,520,520,389,389,450,450,430,430,488,488,90224.21875,68665.1328125,86008,146177.875,67173.90625,142970,9213.2197265625,9177,7212.41015625,7108,16621.41015625,16106,13327.349609375,12824,12428.0498046875,12374,11725.3994140625,11643,10670.849609375,9664,12480,12064,12309,11857,10853.25,10257,9585,9308,NA,NA,NA,NA,NA,NA,NA,NA
"20-DEC-2023",2023-12-20 09:55:21,"2023-12-20","9H 55M 21S","Unknown","2.16.0","Unknown","Unknown",500,500,500,380,380,380,533,533,436,436,640,640,700,700,558,558,450,450,520,520,389,389,450,450,430,430,488,488,92618.4609375,68662.1015625,88119,148092.625,67488.375,144525,9195.0400390625,9156,7482.080078125,7379,16938.810546875,16376,13719.26953125,13149,12575.25,12409,11842.7001953125,11652,10934.2001953125,9831,12714,12322,12530.25,12145,11041.5,10511,10041.75,9711,NA,NA,NA,NA,NA,NA,NA,NA
"19-DEC-2023",2023-12-19 09:03:20,"2023-12-19","9H 3M 20S","Unknown","2.16.0","Unknown","Unknown",500,500,500,380,380,380,533,533,436,436,640,640,700,700,558,558,450,450,520,520,389,389,450,450,430,430,488,488,92903.38671875,68161.58984375,88970.5,146900.3046875,67081.33984375,144007,9420.77490234375,9427.5,7774.47485351562,7668.5,16876.365234375,16433.5,13495.0200195312,13052.5,12562.0249023438,12562.5,11781.1748046875,11764,10639.224609375,9706,12505.125,12196.5,12356.625,12119,10977.375,10466,10134.375,9878,NA,NA,NA,NA,NA,NA,NA,NA
"18-DEC-2023",2023-12-18 13:30:10,"2023-12-18","13H 30M 10S","Unknown","2.16.0","Unknown","Unknown",500,500,500,380,380,380,533,533,436,436,640,640,700,700,558,558,450,450,520,520,389,389,450,450,430,430,488,488,88810.03515625,65133.69140625,89480.5,142747.1953125,64308.751953125,146098,8614.2900390625,8977.5,7185.13989257812,7367.5,16167.7348632812,16398.5,13374.2700195312,13547.5,12180.7998046875,12601,11228.6000976562,11612,10179.7998046875,9488.5,12022.5,12402,12130.5,12452,10564.125,10581.5,10221.375,10409,NA,NA,NA,NA,NA,NA,NA,NA
"15-DEC-2023",2023-12-15 09:39:01,"2023-12-15","9H 39M 1S","Unknown","2.16.0","Unknown","Unknown",500,500,500,380,380,380,533,533,436,436,640,640,700,700,558,558,450,450,520,520,389,389,450,450,430,430,488,488,85914.2421875,68345.28125,82340,138525.78125,68001.828125,134095,9686.91015625,9611,7011.419921875,6864,16094.9404296875,15502,12358.58984375,11814,12406.2001953125,12304,11731.1494140625,11613,10274.099609375,9293,12705.75,12286,12487.5,12084,10917,10357,8964.75,8680,NA,NA,NA,NA,NA,NA,NA,NA
"14-DEC-2023",2023-12-14 09:17:21,"2023-12-14","9H 17M 21S","Unknown","2.16.0","Unknown","Unknown",500,500,500,380,380,380,533,533,436,436,640,640,700,700,558,558,450,450,520,520,389,389,450,450,430,430,488,488,88064.0078125,68436.515625,84247,138694.828125,67913.1953125,134215,9613.1796875,9566,7085.14990234375,6976,16108.0498046875,15472,12620.099609375,12022,12432.6494140625,12174,11747.25,11514,10534,9380,12631.5,12308,12424.5,12065,10959,10406,9081,8815,NA,NA,NA,NA,NA,NA,NA,NA
"13-DEC-2023",2023-12-13 09:17:19,"2023-12-13","9H 17M 19S","Unknown","2.16.0","Unknown","",500,500,500,380,380,380,533,533,436,436,640,640,700,700,558,558,450,450,520,520,389,389,450,450,430,430,488,488,89181.9609375,69700.828125,83839,143481.359375,70080.45703125,134483,10049.5,9800.5,7479.55493164062,7236.5,16521.359375,15383,13112.0703125,11996,12502.7998046875,12412,11787.5,11682,10581.1499023438,9485,13716,12312,13525.875,12093,12012,10385,10241.625,9004,NA,NA,NA,NA,NA,NA,NA,NA
"12-DEC-2023",2023-12-12 09:32:32,"2023-12-12","9H 32M 32S","Unknown","2.16.0","Unknown","Unknown",500,500,500,380,380,380,533,533,436,436,640,640,700,700,558,558,450,450,520,520,389,389,450,450,430,430,488,488,90342.5390625,68662.8671875,86172,139711.546875,68020.17578125,135090.5,9801.544921875,9684,8118.88500976562,7942,16014.2099609375,15363,12854.7001953125,12262,12595.375,12519,11922.0498046875,11837,10736.974609375,9722.5,12805.875,12360.5,12589.875,12112.5,11276.25,10695.5,10360.875,9992,NA,NA,NA,NA,NA,NA,NA,NA
"11-DEC-2023",2023-12-11 09:50:23,"2023-12-11","9H 50M 23S","Unknown","2.16.0","Unknown","Unknown",500,500,500,380,380,380,533,533,436,436,640,640,700,700,558,558,450,450,520,520,389,389,450,450,430,430,488,488,96003.6328125,68949.234375,91358,145732.828125,68622.875,139407,10005.0595703125,9864,8505.2099609375,8295,16801.5,15999,13357.01953125,12626,12722.4501953125,12727,11900.2001953125,11880,10479.9501953125,9567,12992.25,12536,12807.75,12340,11419.5,10763,10863,10502,NA,NA,NA,NA,NA,NA,NA,NA
"08-DEC-2023",2023-12-08 16:00:44,"2023-12-08","16H 0M 44S","Unknown","2.16.0","Unknown","Unknown",420,420,420,357,357,357,539,539,455,455,610,610,678,678,557,557,452,452,520,520,388,388,452,452,439,439,512,512,36014.55078125,55506.27734375,42717,68347.953125,55900.44921875,80788,9499.6396484375,10620,6487.8798828125,6939,8462.9599609375,9988,7223.95947265625,8378,10890.1904296875,11876,10675.4599609375,11756,9328.220703125,9267,10677.1201171875,11815,11038.919921875,12237,10424.5302734375,11074,8119.72998046875,9028,NA,NA,NA,NA,NA,NA,NA,NA
"07-DEC-2023",2023-12-07 16:44:09,"2023-12-07","16H 44M 9S","Unknown","2.16.0","Unknown","Unknown",420,420,420,357,357,357,539,539,455,455,610,610,678,678,557,557,452,452,520,520,388,388,452,452,439,439,512,512,32605.451171875,54919.625,38911,68880.7265625,55276.2578125,81926,9024.9404296875,10114,7312.259765625,8079,8848.8193359375,10399,8013.9697265625,9392,10911.990234375,11930,10807.3505859375,11820,9476.4599609375,9381,10679.1298828125,12044,11241.9306640625,12673,10851.3203125,11914,10413.810546875,11605,NA,NA,NA,NA,NA,NA,NA,NA
"06-DEC-2023",2023-12-06 09:23:50,"2023-12-06","9H 23M 50S","Unknown","2.16.0","Unknown","Unknown",500,500,500,380,380,380,533,533,436,436,640,640,700,700,558,558,450,450,520,520,389,389,450,450,430,430,488,488,79347.48046875,68165.1015625,76312.5,137031.9296875,67492.9921875,133455,9836.89501953125,9764,6437.73974609375,6344.5,15859.650390625,15355.5,12130.544921875,11676.5,12709.7998046875,12665,11974.375,11920.5,10473.625,9513,12991.5,12649,12753.375,12412,10996.875,10510.5,8364,8208,NA,NA,NA,NA,NA,NA,NA,NA
"05-DEC-2023",2023-12-05 09:38:46,"2023-12-05","9H 38M 46S","Unknown","2.16.0","Unknown","Unknown",500,500,500,380,380,380,533,533,436,436,640,640,700,700,558,558,450,450,520,520,389,389,450,450,430,430,488,488,80856.4921875,68732.9296875,77104.5,137311.03125,68018.0703125,132674,9244.02490234375,9149,6209.47998046875,6092.5,15954.8701171875,15313.5,12302.3549804688,11697,12808.6997070312,12595,12043.9501953125,11822.5,10326.4248046875,9281,13041.75,12586.5,12781.5,12296,10894.875,10337.5,8466,8266,NA,NA,NA,NA,NA,NA,NA,NA
